date_of_interest,HOSPITALIZED_COUNT,rolling_seven,log_hosp,Covid-19 Hospitalizations Index
2020-03-03,1,0.1,0.1,98.343
2020-03-04,2,0.4,0.2,95.574
2020-03-05,8,1.6,0.4,88.281
2020-03-06,5,2.3,0.5,85.239
2020-03-07,6,3.1,0.6,82.4
2020-03-08,15,5.3,0.8,77.19
2020-03-09,30,9.6,1,70.739
2020-03-10,49,16.4,1.2,64.535
2020-03-11,73,26.6,1.4,58.844
2020-03-12,79,36.7,1.6,54.957
2020-03-13,145,56.7,1.8,49.678
2020-03-14,156,78.1,1.9,45.8
2020-03-15,196,104,2,42.252
2020-03-16,330,146.9,2.2,38.005
2020-03-17,360,191.3,2.3,34.744
2020-03-18,491,251,2.4,31.389
2020-03-19,571,321.3,2.5,28.336
2020-03-20,701,400.7,2.6,25.602
2020-03-21,736,483.6,2.7,23.3
2020-03-22,763,564.6,2.8,21.358
2020-03-23,1111,676.1,2.8,19.123
2020-03-24,1244,802.4,2.9,17.002
2020-03-25,1396,931.7,3,15.15
2020-03-26,1543,1070.6,3,13.428
2020-03-27,1502,1185,3.1,12.169
2020-03-28,1439,1285.4,3.1,11.2
2020-03-29,1472,1386.7,3.1,10.22
2020-03-30,1835,1490.1,3.2,9.328
2020-03-31,1804,1570.1,3.2,8.68
2020-04-01,1757,1621.7,3.2,8.279
2020-04-02,1732,1648.7,3.2,8.074
2020-04-03,1688,1675.3,3.2,7.876
2020-04-04,1431,1674.1,3.2,7.9
2020-04-05,1394,1663,3.2,7.967
2020-04-06,1805,1658.7,3.2,7.999
2020-04-07,1686,1641.9,3.2,8.126
2020-04-08,1618,1622,3.2,8.277
2020-04-09,1482,1586.3,3.2,8.553
2020-04-10,1395,1544.4,3.2,8.884
2020-04-11,1161,1505.9,3.2,9.2
2020-04-12,1033,1454.3,3.2,9.63
2020-04-13,1265,1377.1,3.1,10.306
2020-04-14,1128,1297.4,3.1,11.045
2020-04-15,1003,1209.6,3.1,11.915
2020-04-16,902,1126.7,3.1,12.794
2020-04-17,898,1055.7,3,13.601
2020-04-18,666,985,3,14.5
2020-04-19,587,921.3,3,15.29
2020-04-20,709,841.9,2.9,16.407
2020-04-21,654,774.1,2.9,17.446
2020-04-22,577,713.3,2.9,18.461
2020-04-23,504,656.4,2.8,19.49
2020-04-24,517,602,2.8,20.562
2020-04-25,366,559.1,2.7,21.5
2020-04-26,339,523.7,2.7,22.288
2020-04-27,394,478.7,2.7,23.4
2020-04-28,396,441.9,2.6,24.392
2020-04-29,327,406.1,2.6,25.436
2020-04-30,283,374.6,2.6,26.437
2020-05-01,292,342.4,2.5,27.548
2020-05-02,225,322.3,2.5,28.3
2020-05-03,216,304.7,2.5,28.991
2020-05-04,253,284.6,2.5,29.837
2020-05-05,229,260.7,2.4,30.919
2020-05-06,229,246.7,2.4,31.601
2020-05-07,198,234.6,2.4,32.225
2020-05-08,208,222.6,2.3,32.874
2020-05-09,146,211.3,2.3,33.5
2020-05-10,108,195.9,2.3,34.453
2020-05-11,192,187.1,2.3,35.015
2020-05-12,136,173.9,2.2,35.923
2020-05-13,151,162.7,2.2,36.74
2020-05-14,146,155.3,2.2,37.317
2020-05-15,140,145.6,2.2,38.113
2020-05-16,91,137.7,2.1,38.8
2020-05-17,83,134.1,2.1,39.12
2020-05-18,112,122.7,2.1,40.217
2020-05-19,127,121.4,2.1,40.346
2020-05-20,88,112.4,2.1,41.294
2020-05-21,95,105.1,2,42.117
2020-05-22,115,101.6,2,42.542
2020-05-23,73,99,2,42.9
2020-05-24,82,98.9,2,42.875
2020-05-25,86,95.1,2,43.345
2020-05-26,75,87.7,1.9,44.343
2020-05-27,84,87.1,1.9,44.423
2020-05-28,79,84.9,1.9,44.749
2020-05-29,92,81.6,1.9,45.233
2020-05-30,57,79.3,1.9,45.6
2020-05-31,62,76.4,1.9,46.031
2020-06-01,79,75.4,1.9,46.193
2020-06-02,70,74.7,1.9,46.309
2020-06-03,81,74.3,1.9,46.38
2020-06-04,74,73.6,1.9,46.498
2020-06-05,58,68.7,1.8,47.334
2020-06-06,41,66.4,1.8,47.7
2020-06-07,54,65.3,1.8,47.959
2020-06-08,62,62.9,1.8,48.423
2020-06-09,61,61.6,1.8,48.675
2020-06-10,60,58.6,1.8,49.285
2020-06-11,56,56,1.8,49.832
2020-06-12,59,56.1,1.8,49.801
2020-06-13,38,55.7,1.8,49.9
2020-06-14,43,54.1,1.7,50.243
2020-06-15,56,53.3,1.7,50.438
2020-06-16,62,53.4,1.7,50.405
2020-06-17,50,52,1.7,50.735
2020-06-18,56,52,1.7,50.735
2020-06-19,53,51.1,1.7,50.937
2020-06-20,30,50,1.7,51.2
2020-06-21,42,49.9,1.7,51.247
2020-06-22,54,49.6,1.7,51.317
2020-06-23,46,47.3,1.7,51.891
2020-06-24,49,47.1,1.7,51.928
2020-06-25,45,45.6,1.7,52.339
2020-06-26,41,43.9,1.7,52.805
2020-06-27,40,45.3,1.7,52.4
2020-06-28,35,44.3,1.7,52.687
2020-06-29,50,43.7,1.7,52.844
2020-06-30,49,44.1,1.7,52.726
2020-07-01,43,43.3,1.6,52.964
2020-07-02,48,43.7,1.7,52.844
2020-07-03,28,41.9,1.6,53.371
2020-07-04,32,40.7,1.6,53.7
2020-07-05,25,39.3,1.6,54.139
2020-07-06,60,40.7,1.6,53.706
2020-07-07,49,40.7,1.6,53.706
2020-07-08,32,39.1,1.6,54.183
2020-07-09,50,39.4,1.6,54.095
2020-07-10,43,41.6,1.6,53.454
2020-07-11,32,41.6,1.6,53.5
2020-07-12,28,42,1.6,53.329
2020-07-13,49,40.4,1.6,53.791
2020-07-14,41,39.3,1.6,54.139
2020-07-15,44,41,1.6,53.621
2020-07-16,36,39,1.6,54.227
2020-07-17,54,40.6,1.6,53.749
2020-07-18,29,40.1,1.6,53.9
2020-07-19,33,40.9,1.6,53.664
2020-07-20,34,38.7,1.6,54.316
2020-07-21,28,36.9,1.6,54.91
2020-07-22,38,36,1.6,55.194
2020-07-23,38,36.3,1.6,55.099
2020-07-24,40,34.3,1.5,55.783
2020-07-25,34,35,1.6,55.5
2020-07-26,27,34.1,1.5,55.833
2020-07-27,43,35.4,1.6,55.387
2020-07-28,40,37.1,1.6,54.817
2020-07-29,30,36,1.6,55.194
2020-07-30,36,35.7,1.6,55.29
2020-07-31,33,34.7,1.6,55.633
2020-08-01,31,34.3,1.5,55.8
2020-08-02,34,35.3,1.6,55.436
2020-08-03,41,35,1.6,55.534
2020-08-04,39,34.9,1.6,55.584
2020-08-05,38,36,1.6,55.194
2020-08-06,34,35.7,1.6,55.29
2020-08-07,27,34.9,1.6,55.584
2020-08-08,17,32.9,1.5,56.3
2020-08-09,27,31.9,1.5,56.668
2020-08-10,33,30.7,1.5,57.107
2020-08-11,26,28.9,1.5,57.856
2020-08-12,36,28.6,1.5,57.975
2020-08-13,40,29.4,1.5,57.621
2020-08-14,40,31.3,1.5,56.885
2020-08-15,23,32.1,1.5,56.6
2020-08-16,24,31.7,1.5,56.722
2020-08-17,33,31.7,1.5,56.722
2020-08-18,43,34.1,1.5,55.833
2020-08-19,32,33.6,1.5,56.037
2020-08-20,35,32.9,1.5,56.296
2020-08-21,31,31.6,1.5,56.776
2020-08-22,26,32,1.5,56.6
2020-08-23,21,31.6,1.5,56.776
2020-08-24,31,31.3,1.5,56.885
2020-08-25,41,31,1.5,56.996
2020-08-26,26,30.1,1.5,57.333
2020-08-27,32,29.9,1.489355711,57.44697968
2020-08-28,23,28.6,1.470872305,57.97507699
2020-08-29,22,28,1.462397998,58.21720006
2020-08-30,19,27.7,1.458098017,58.34005665
2020-08-31,40,28.9,1.475048246,57.8557644
2020-09-01,22,26.3,1.435935327,58.97327636
2020-09-02,23,25.9,1.429059809,59.16971974
2020-09-03,22,24.4,1.405321962,59.84794393
2020-09-04,32,25.7,1.426743567,59.2358981
2020-09-05,21,25.6,1.424414904,59.30243131
2020-09-06,25,26.6,1.440459269,58.84402089
2020-09-07,25,24.3,1.402875226,59.91785068
2020-09-08,25,24.7,1.410174465,59.709301
2020-09-09,28,25.4,1.422073688,59.36932319
2020-09-10,26,26,1.431363764,59.10389245
2020-09-11,34,26.3,1.435935327,58.97327636
2020-09-12,14,25.3,1.419719783,59.43657763
2020-09-13,16,24,1.397940009,60.0588569
2020-09-14,29,24.6,1.407754991,59.77842883
2020-09-15,32,25.6,1.424414904,59.30243131
2020-09-16,48,28.4,1.46876918,58.03516628
2020-09-17,27,28.6,1.470872305,57.97507699
2020-09-18,39,29.3,1.481237821,57.6789194
2020-09-19,22,30.4,1.497324641,57.21929598
2020-09-20,24,31.6,1.512836807,56.77609123
2020-09-21,24,30.9,1.503206823,57.05123363
2020-09-22,32,31,1.505149978,56.99571491
2020-09-23,42,30,1.491361694,57.38966589
2020-09-24,33,30.9,1.503206823,57.05123363
2020-09-25,49,32.3,1.522257881,56.50691769
2020-09-26,32,33.7,1.540508234,55.98547904
2020-09-27,32,34.9,1.554575681,55.58355196
2020-09-28,37,36.7,1.576505887,54.95697466
2020-09-29,48,39,1.602059991,54.22685739
2020-09-30,54,40.7,1.620284811,53.70614824
2020-10-01,38,41.4,1.627658409,53.49547402
2020-10-02,47,41.1,1.624723976,53.57931497
2020-10-03,26,40.3,1.615799803,53.83429135
